record_type,id,date,title,owner,region,studio,severity,status,links
DLR,DLR-20260224-001,2026-02-24,Global build pipeline unification,@eng-lead,Global,LA+Montreal+Tokyo,medium,ratified,ASM-0001;ASM-0002
DLR,DLR-20260224-002,2026-02-24,Server infrastructure scaling policy,@infra-lead,Global,LA,medium,ratified,ASM-0001;TELEMETRY-W09
DLR,DLR-20260224-003,2026-02-25,Season 4 Battle Pass pricing,@monetization-lead,Global,Berlin,high,ratified,CLAIM-0001;ASM-0004
DLR,DLR-20260224-004,2026-02-25,Weapon balance framework v2,@balance-lead,Global,Montreal,medium,ratified,CLAIM-0002;CANON-v1.0
DLR,DLR-20260226-001,2026-02-26,Season 4 narrative arc approval,@narrative-lead,Global,Montreal,medium,ratified,CANON-v1.0;CLAIM-0003
DLR,DLR-20260228-001,2026-02-28,Patch Tuesday SLA definition,@ops-lead,Global,LA,high,ratified,ASM-0003;EVID-0001
DLR,DLR-20260228-002,2026-02-28,Anti-cheat integration upgrade,@security-lead,Global,Warsaw,medium,ratified,EVID-0002
DLR,DLR-20260302-001,2026-03-02,Tournament infrastructure scaling plan,@infra-lead,NA+APAC,LA+Tokyo,sev-1,ratified,ASM-0005;DRIFT-20260302-001;TELEMETRY-W10
DLR,DLR-20260302-002,2026-03-02,Tournament dedicated server provisioning,@infra-lead,Global,Tokyo,sev-1,ratified,DLR-20260302-001;DRIFT-20260302-001
DLR,DLR-20260302-003,2026-03-03,Tournament balance patch freeze,@balance-lead,Global,Montreal,high,ratified,DLR-20260302-001;CLAIM-0004
DLR,DLR-20260304-001,2026-03-04,Latency compensation algorithm update APAC,@netcode-lead,APAC,Tokyo,sev-1,ratified,DRIFT-20260304-001;TELEMETRY-W10
DLR,DLR-20260304-002,2026-03-04,Competitive integrity reporting system,@fairness-lead,Global,LA,high,ratified,DRIFT-20260305-001;CLAIM-0005
DLR,DLR-20260306-001,2026-03-06,Auto-scaling threshold adjustment,@infra-lead,Global,LA,high,ratified,DRIFT-20260302-001;DLR-20260302-001
DLR,DLR-20260306-002,2026-03-06,Emergency hotfix bypass protocol,@ops-lead,Global,LA,sev-1,ratified,DLR-20260228-001;EVID-0003
DLR,DLR-20260306-003,2026-03-06,Cross-region matchmaking rebalance,@netcode-lead,Global,Tokyo+LA,high,ratified,DRIFT-20260302-002;DRIFT-20260304-001
DLR,DLR-20260306-004,2026-03-06,Competitive fairness protest response,@esports-lead,Global,LA,high,ratified,DRIFT-20260305-001;DRIFT-20260305-002
DLR,DLR-20260309-001,2026-03-09,Emergency MTX rollback EU,@monetization-lead,EU,Berlin,sev-1,ratified,DRIFT-20260309-001;DRIFT-20260310-001;DRIFT-20260310-002;CANON-v1.2
DLR,DLR-20260309-002,2026-03-09,Emergency localization sync,@loc-lead,EU+APAC,Berlin+Warsaw,sev-1,ratified,DLR-20260309-001;DRIFT-20260320-001
DLR,DLR-20260309-003,2026-03-10,Localization divergence correction policy,@narrative-lead,Global,Montreal,high,in_progress,DLR-20260309-002;CANON-v1.2
DLR,DLR-20260311-001,2026-03-11,Loot box conversion to direct purchase EU,@monetization-lead,EU,Berlin,sev-1,ratified,DLR-20260309-001;DRIFT-20260309-001;CLAIM-0006
DLR,DLR-20260311-002,2026-03-11,Pay-to-win allegation response plan,@comms-lead,Global,LA,high,ratified,DRIFT-20260311-001;CLAIM-0007
DLR,DLR-20260313-001,2026-03-13,Patch cadence SLA revision,@ops-lead,Global,LA,high,ratified,DLR-20260228-001;DRIFT-20260313-001
DLR,DLR-20260313-002,2026-03-13,Ranked mode fairness audit,@balance-lead,Global,Montreal,medium,ratified,DRIFT-20260305-001;EVID-0004
DLR,DLR-20260313-003,2026-03-13,Cross-studio hotfix cadence alignment,@ops-lead,Global,LA+Montreal+Tokyo,high,ratified,DLR-20260306-002;DRIFT-20260313-001
DLR,DLR-20260316-001,2026-03-16,Refund policy revision EU APAC,@finance-lead,EU+APAC,Berlin,high,ratified,DLR-20260309-001;DRIFT-20260310-001
DLR,DLR-20260316-003,2026-03-17,CDN failover architecture redesign,@infra-lead,Global,LA+Tokyo,high,ratified,DRIFT-20260304-001;ASM-0009
DLR,DLR-20260320-001,2026-03-20,Lore consistency framework,@narrative-lead,Global,Montreal,medium,ratified,DRIFT-20260320-001;CANON-v1.3
DLR,DLR-20260320-002,2026-03-20,Automated regression gate for patches,@qa-lead,Global,Warsaw,high,ratified,DRIFT-20260319-001;EVID-0005
DLR,DLR-20260323-001,2026-03-23,Studio handoff protocol for live patches,@ops-lead,Global,LA+Montreal,medium,ratified,DLR-20260313-003;DLR-20260306-002
